#{"t_start": 1533039087.7004023, "env_id": "Hopper-v2"}
r,l,t
100.621968,60,9.567392
7.08942,10,9.571708
102.423113,58,9.596933
15.291736,18,9.604901
70.846833,51,9.627102
71.271196,44,9.646432
72.711509,45,9.666133
93.423891,53,9.68914
43.613095,31,9.702397
19.153349,24,9.712953
7.260044,13,9.718682
85.143793,55,9.742598
13.298302,20,9.751348
94.926237,73,9.782951
21.715657,22,9.792746
85.357862,55,9.816893
8.506844,13,9.822562
15.749492,20,9.831416
31.086324,38,9.847979
16.436417,18,9.855855
83.288138,48,9.87649
91.760313,52,9.898942
11.53881,12,9.904111
151.60396,76,9.937403
71.736056,42,9.955812
21.384462,27,9.967669
92.731058,58,9.99277
68.801625,58,10.018468
74.668029,44,10.03787
18.225129,18,10.045816
10.651717,35,10.060995
36.644577,59,10.087115
47.305154,40,10.104452
95.063182,54,10.128226
156.62927,100,10.171262
73.895131,43,10.19014
126.507278,69,10.219949
11.67167,17,10.227463
141.715043,73,10.256385
7.625907,12,10.261896
4.374061,15,10.268542
17.217976,28,10.28172
63.979289,44,10.301417
30.871442,26,10.312888
97.864892,55,10.337022
13.24948,22,10.346646
91.722803,68,10.376422
23.82476,44,10.395876
146.153433,87,10.433541
136.508934,74,10.465742
10.924685,21,10.474995
46.241316,38,10.491409
64.796173,38,10.508102
70.126282,44,10.527444
229.64911,111,10.575643
9.643807,12,10.580845
14.839531,23,10.591
88.481108,50,10.612847
106.768676,67,10.641713
17.300145,19,10.650059
60.272658,36,10.665803
28.309326,24,10.676211
74.742056,46,10.696484
43.979168,35,10.711445
78.848991,46,10.73136
75.351706,45,10.750922
49.276366,29,10.763643
25.838059,33,10.778351
10.51555,18,10.786215
23.976569,23,10.796195
11.452193,22,10.805951
27.920664,52,10.828658
80.797138,51,10.850713
34.614203,36,10.866566
99.069712,57,10.890717
30.199453,29,10.903574
36.82128,32,10.91766
9.114534,13,10.923346
25.3972,31,10.937028
51.170121,51,10.959177
72.940337,43,10.977662
69.7276,42,10.996253
86.954757,48,11.01714
36.28007,50,11.039062
23.768895,35,11.054535
108.976536,66,11.083291
70.370327,42,11.101392
28.029702,29,11.114039
76.02664,45,11.133801
85.222075,55,11.158209
122.320858,76,11.689319
235.670219,112,11.738425
26.089453,22,11.748313
58.274387,35,11.763948
61.08747,44,11.783449
73.99875,44,11.803009
114.892886,63,11.830502
92.340122,54,11.854737
101.91595,58,11.880357
11.275934,16,11.887512
149.668675,115,11.937761
73.36991,50,11.959668
15.125218,16,11.966757
60.888004,35,11.982225
118.924752,85,12.019972
60.137169,37,12.036284
136.657386,80,12.070651
40.908442,44,12.090267
95.370579,55,12.114316
79.110857,46,12.134063
13.600367,20,12.142996
15.492668,28,12.155635
69.194901,42,12.17398
58.79013,35,12.18957
121.509068,70,12.220595
86.625002,57,12.245602
93.328861,56,12.270643
121.132874,63,12.298156
117.493007,64,12.326201
10.995993,15,12.332843
70.259137,42,12.351655
32.718695,36,12.367656
18.809695,18,12.3756
75.762664,53,12.400685
127.910075,76,12.434574
114.399347,60,12.461345
69.568751,42,12.479689
126.619021,78,12.513649
148.616978,79,12.548778
91.089011,52,12.571421
154.388788,91,12.610987
139.472336,77,12.644155
93.96436,53,12.66679
97.673065,60,12.693241
66.679554,43,12.711842
122.279095,74,12.743649
153.107526,86,12.780931
8.806286,10,12.785402
118.399716,83,12.82189
52.703371,39,12.839021
73.464715,44,12.858441
90.58883,58,12.884099
102.63407,57,12.908893
39.990183,31,12.922517
218.374225,114,12.972551
41.931184,40,12.990302
84.840723,64,13.018843
208.788733,105,13.064809
118.644963,68,13.094955
210.789038,98,13.137428
89.318018,51,13.159817
74.898385,47,13.180314
89.976416,51,13.20268
79.644263,50,13.224062
88.158163,58,13.249487
148.875065,78,13.283947
79.710878,54,13.3077
70.361594,44,13.326796
84.879695,53,13.34999
56.233164,34,13.365141
69.873599,46,13.385657
15.99613,29,13.398604
