ev_tdlam_before,EpisodesSoFar,entloss,surrgain,EpThisIter,EpRewMean,EpLenMean,meankl,optimgain,TimestepsSoFar,TimeElapsed,entropy
0.7525460571050644,1344,0.0,0.010036652,32,2171.6217399582265,761.4,0.0053344923,0.010036652,337500,174.6917245388031,3.7801874
0.6445331573486328,1376,0.0,0.008229611,32,2438.474392566085,852.025,0.005359897,0.008229611,365353,189.21130990982056,3.7575078
0.8322054892778397,1408,0.0,0.01001696,32,2216.397526176274,751.975,0.0054254597,0.01001696,388315,201.0309021472931,3.7571852
0.8437757939100266,1440,0.0,0.009728915,32,1974.1886390790344,651.7,0.0049082325,0.009728915,409980,212.3583447933197,3.7490232
0.820459857583046,1472,0.0,0.008257329,32,2136.0228876918554,717.15,0.004365469,0.008257329,433795,224.60640263557434,3.744142
0.8611563593149185,1504,0.0,0.0111345295,32,2000.6843389183282,661.05,0.005708391,0.0111345295,454831,235.3836271762848,3.719732
0.7309513092041016,1536,0.0,0.0104002915,32,2320.126258672774,763.1,0.005681647,0.0104002915,480210,248.38511681556702,3.696614
0.6724721491336823,1568,0.0,0.010553424,32,2311.1868213266134,779.975,0.005812476,0.010553424,505448,261.1724715232849,3.679686
0.7595959901809692,1600,0.0,0.009304564,32,2159.0681721434,732.1,0.005020162,0.009304564,528793,273.3164732456207,3.6943548
0.741382360458374,1632,0.0,0.0092676105,32,2261.337886865437,758.325,0.004954951,0.0092676105,553955,286.12798595428467,3.6955879
0.7162792682647705,1664,0.0,0.0103138145,32,2422.09670971781,812.0,0.006671319,0.0103138145,579840,299.4530203342438,3.6884978
0.6566635966300964,1696,0.0,0.008965153,32,2444.659697456658,822.375,0.005803377,0.008965153,607228,313.6385974884033,3.6712017
0.6586134731769562,1728,0.0,0.009503918,32,2426.625406007469,810.525,0.005754037,0.009503918,633690,327.3569321632385,3.6868513
0.6396159827709198,1760,0.0,0.009227994,32,2451.2534326538444,817.8,0.0052180756,0.009227994,659192,340.7473201751709,3.7021646
0.7795138955116272,1792,0.0,0.010717517,32,2299.3627681151033,763.325,0.005568422,0.010717517,683828,353.3271508216858,3.6966228
0.7640542984008789,1824,0.0,0.010377767,32,2271.5059379279614,750.425,0.0051276498,0.010377767,708398,365.89334177970886,3.697978
0.6849714517593384,1856,0.0,0.0087966565,32,2518.9202572524546,828.825,0.0051095462,0.0087966565,733879,378.98831033706665,3.6867952
0.568318784236908,1888,0.0,0.009521692,32,2642.9356955721973,871.65,0.0056113983,0.009521692,761268,393.05840611457825,3.6806452
0.6230472028255463,1920,0.0,0.009804335,32,2562.772016863525,844.925,0.0055323816,0.009804335,788303,406.88973927497864,3.6784503
0.5487775802612305,1952,0.0,0.009257583,32,2652.818843846023,865.575,0.005734001,0.009257583,816522,421.36473393440247,3.664047
0.6013692915439606,1984,0.0,0.009650841,32,2693.450277087092,875.35,0.0049368814,0.009650841,844587,435.8363060951233,3.6585145
0.37730294466018677,2016,0.0,0.008957608,32,2856.545404545963,935.65,0.0052581634,0.008957608,874937,451.2058172225952,3.6620953
0.6402402818202972,2048,0.0,0.00954,32,2636.3162440225483,864.35,0.005227606,0.00954,901511,464.8010287284851,3.6699846
0.7488130033016205,2080,0.0,0.0102882385,32,2482.0931944981216,793.375,0.0056388257,0.0102882385,926269,477.5917751789093,3.6696532
0.5230700373649597,2112,0.0,0.0093379365,32,2676.9174686938522,863.1,0.0055431984,0.0093379365,955464,492.3207800388336,3.6397195
0.6420520544052124,2144,0.0,0.009532966,32,2766.9134429365395,882.0,0.0053831777,0.009532966,982975,506.34312677383423,3.623349
0.624616801738739,2176,0.0,0.010041092,32,2700.4939875662326,857.9,0.0060380776,0.010041092,1011113,520.7662777900696,3.5770879
0.6596489548683167,2208,0.0,0.009261098,32,2683.7390514552594,848.05,0.0053492044,0.009261098,1038982,534.7092776298523,3.5869896
0.6693940758705139,2240,0.0,0.009187068,32,2701.591400808096,856.15,0.0059496355,0.009187068,1066866,549.0805840492249,3.6015673
0.45234811305999756,2272,0.0,0.008416961,32,2863.9274724274874,921.8,0.0049333367,0.008416961,1097435,564.701651096344,3.5846863
0.6348211467266083,2304,0.0,0.009488472,32,2818.243226401508,899.775,0.005119195,0.009488472,1125925,579.3424079418182,3.5917811
0.30161231756210327,2336,0.0,0.008780928,32,2797.6518979743123,905.95,0.005150288,0.008780928,1155460,594.4889857769012,3.5857105
0.4952353239059448,2368,0.0,0.008891313,32,2762.0699420228602,895.2,0.005790259,0.008891313,1184342,609.4018075466156,3.581074
0.45139366388320923,2400,0.0,0.009072861,32,2790.454419110715,891.425,0.0054672407,0.009072861,1213158,624.2805728912354,3.5761733
0.36558979749679565,2432,0.0,0.009161319,32,2710.2785676404833,871.575,0.005154345,0.009161319,1241761,638.7962493896484,3.5960097
0.46385663747787476,2464,0.0,0.008415176,32,2892.364937134087,923.7,0.0052717016,0.008415176,1270709,653.3742892742157,3.6169538
0.6061690747737885,2496,0.0,0.009389844,32,2748.080204844475,866.2,0.0056289486,0.009389844,1299614,667.9300591945648,3.6116157
0.3657057285308838,2528,0.0,0.0100757815,32,2941.1494183644654,931.775,0.005910122,0.0100757815,1329219,682.8949179649353,3.6044924
0.4608839154243469,2560,0.0,0.008488985,32,2879.8800257071853,902.025,0.0051242076,0.008488985,1357887,697.4458584785461,3.595998
0.6860448718070984,2592,0.0,0.011252456,32,2866.9390186727046,889.75,0.0062291077,0.011252456,1385477,711.6670920848846,3.5803251
0.42041242122650146,2624,0.0,0.008622095,32,3020.5005195498466,942.175,0.0057738964,0.008622095,1415747,727.058032989502,3.5989118
