#{"t_start": 1533039198.3577511, "env_id": "Hopper-v2"}
r,l,t
188.578336,125,17.162533
67.97189,41,17.179976
162.595897,83,17.21493
223.946386,127,17.268121
178.305918,86,17.304341
75.444189,43,17.322407
199.712808,98,17.363689
184.489196,120,17.414461
124.180593,67,17.443826
148.814782,80,17.478868
84.485258,48,17.500085
239.785104,120,17.553068
104.307426,70,17.584087
205.425945,107,17.630635
61.869859,37,17.647069
218.457288,97,17.689576
105.161178,71,17.721041
209.710725,98,17.763988
221.34757,106,17.810328
263.550074,144,17.873256
248.937933,132,17.930685
206.78537,98,17.973588
117.349352,64,18.001481
165.078174,82,18.037574
249.352156,145,18.101062
11.554789,16,18.108034
217.150184,103,18.153389
151.724149,74,18.186
178.781827,98,18.227963
224.409981,106,18.274742
137.001366,71,18.306386
225.839672,108,18.353403
221.561737,108,18.399829
49.548351,30,18.413232
189.402383,87,18.451486
221.425677,98,18.494649
80.51491,47,18.515364
195.992271,106,18.561784
76.358774,47,18.582072
154.436231,81,18.617606
232.418869,108,18.665297
207.369043,103,18.710104
12.942005,14,18.716327
245.532788,107,18.763096
213.651315,107,18.809927
223.791781,107,18.857134
185.874245,86,18.895033
180.222413,99,18.939298
241.662259,118,18.991375
96.526651,53,19.014728
58.772698,36,19.030731
215.477197,106,19.076901
92.610069,54,19.100368
215.829383,109,19.148217
50.791656,31,19.161996
172.715152,92,19.202008
120.884722,77,19.236233
134.677657,72,19.761561
99.75224,63,19.789169
205.938429,96,19.830553
109.494763,69,19.85914
235.398146,113,19.908328
157.772537,81,19.94326
180.277398,91,19.982926
246.379521,126,20.037867
210.822827,101,20.08185
229.299976,119,20.133937
220.128991,96,20.175413
213.251256,103,20.219472
152.533649,75,20.252043
207.4336,102,20.296381
221.677645,105,20.341978
253.727898,140,20.402554
158.10269,81,20.437914
111.474053,62,20.465382
222.599574,109,20.513292
79.82431,52,20.536527
241.68252,114,20.586643
232.664605,118,20.638805
201.37331,108,20.686306
220.765094,107,20.733839
242.13848,145,20.797923
238.724437,152,20.865467
221.954839,105,20.911372
235.128149,127,20.967277
190.857389,102,21.012065
224.626778,97,21.055463
235.855904,106,21.101642
116.035767,65,21.130363
212.437695,101,21.17434
75.982449,50,21.19618
120.080546,65,21.224592
236.970119,115,21.274793
249.254818,149,21.339708
244.454479,124,21.393825
203.583844,116,21.444226
213.282001,112,21.492525
247.086622,136,21.552185
215.98678,107,21.598921
59.339466,38,21.615804
180.945331,101,21.660008
170.707005,96,21.701851
191.708893,104,21.747041
177.600436,87,21.785352
209.688446,104,21.831058
218.520696,115,21.881723
208.281604,105,21.925408
207.651954,112,22.473023
223.287801,111,22.519209
191.293246,86,22.554021
229.084521,113,22.602706
129.780738,68,22.632098
224.617573,113,22.682136
200.686925,105,22.72855
211.18317,99,22.769019
190.854373,120,22.821933
78.631791,54,22.845462
224.512952,111,22.894362
238.242124,136,22.95417
232.78603,113,23.003888
182.400604,104,23.049723
139.608447,69,23.079972
223.283865,102,23.125468
226.012688,114,23.1758
241.308583,117,23.226718
218.817282,110,23.2751
197.803519,96,23.317294
164.197325,88,23.35561
207.656595,91,23.395511
238.126675,116,23.4458
222.316399,120,23.49817
277.017105,157,23.567265
238.549272,115,23.61743
235.493237,104,23.662982
252.330232,120,23.716138
236.935971,118,23.768243
238.551659,117,23.818787
158.837292,74,23.851343
205.768636,102,23.896196
223.120401,120,23.948442
227.087865,108,23.995357
171.289104,95,24.036812
128.05653,67,24.066462
184.861263,90,24.105719
65.176521,38,24.122537
235.278597,103,24.167643
194.90311,109,24.214946
242.104701,113,24.263663
271.216839,165,24.33644
236.798061,125,24.391573
212.323687,103,24.436604
199.014839,96,24.478925
215.993273,112,24.524398
174.608218,86,24.558265
268.330839,126,24.613245
160.604353,91,25.149903
215.924652,95,25.189841
232.374168,104,25.233404
239.252941,112,25.280628
107.747845,59,25.305665
242.38866,110,25.351668
226.196372,118,25.401486
220.005287,100,25.443742
251.819027,125,25.496616
231.412383,110,25.54463
227.722683,103,25.590117
254.407533,120,25.642572
187.016363,95,25.683976
241.552437,115,25.734371
229.338045,109,25.781975
248.216657,123,25.834775
221.46176,103,25.880116
124.995911,67,25.909294
