entloss,EpisodesSoFar,EpThisIter,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,ev_tdlam_before,surrgain,entropy,EpLenMean,meankl
0.0,2320,5,2688.2942983709904,499022,0.018632295,258.21904397010803,0.32774001359939575,0.018632295,3.282226,884.5,0.005723065
0.0,2326,6,2727.74807184076,504051,0.023582766,260.7338705062866,0.6950521469116211,0.023582766,3.2809808,894.775,0.006796355
0.0,2332,6,2736.341345059858,509303,0.023781877,263.22431325912476,0.7230732142925262,0.023781877,3.2747822,892.15,0.005750128
0.0,2339,7,2653.8554700085174,514736,0.022230463,265.7681016921997,0.7008141279220581,0.022230463,3.2669754,862.75,0.0062007154
0.0,2346,7,2543.1407251415712,519750,0.022251895,268.27571845054626,0.7853768467903137,0.022251895,3.252533,821.275,0.0062919054
0.0,2352,6,2587.047108482864,524991,0.021634605,270.8901562690735,0.6141490936279297,0.021634605,3.2397752,833.6,0.0071661286
0.0,2358,6,2550.8555584226006,529825,0.0212132,273.42156076431274,0.6089601218700409,0.0212132,3.2394724,820.075,0.006378693
0.0,2363,5,2520.8648169351836,534104,0.02205725,276.01533341407776,0.41518646478652954,0.02205725,3.2275372,811.7,0.0069410857
0.0,2370,7,2520.5877657115166,539968,0.02107844,278.59927201271057,0.7256297171115875,0.02107844,3.2289977,811.65,0.006482704
0.0,2377,7,2474.9808227499902,544711,0.019576186,281.15027236938477,0.8664016276597977,0.019576186,3.2200694,796.575,0.0065056947
0.0,2383,6,2519.2410368437986,549495,0.02013084,283.68287420272827,0.6513654887676239,0.02013084,3.2256832,810.875,0.0064856415
0.0,2388,5,2544.6751264082955,554495,0.02258476,286.15401673316956,0.6003722250461578,0.02258476,3.2170484,818.625,0.005871255
0.0,2395,7,2475.02654780556,559338,0.025233699,288.61798119544983,0.7792901992797852,0.025233699,3.2190914,795.025,0.006757085
0.0,2402,7,2434.398981207805,564913,0.023193765,291.2044868469238,0.7889307588338852,0.023193765,3.236299,777.2,0.0065580024
0.0,2409,7,2419.6604268778437,569801,0.024534315,293.71608996391296,0.8692676872014999,0.024534315,3.24341,770.825,0.0074009215
0.0,2415,6,2437.754993614377,574684,0.022141965,296.2316265106201,0.8394023030996323,0.022141965,3.2337663,774.15,0.0068554925
0.0,2423,8,2401.573368419412,579953,0.026293881,298.7417769432068,0.8079294413328171,0.026293881,3.2255936,761.45,0.005916469
0.0,2430,7,2193.8106160500092,584089,0.020432772,301.30041694641113,0.8634455800056458,0.020432772,3.2158442,694.4,0.005495192
