#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
175.408317,114,9.279979
6.363262,9,9.28369
22.626005,40,9.300567
83.02721,51,9.322364
10.251119,16,9.329176
158.422131,87,9.365322
50.195544,30,9.377914
21.331591,25,9.388549
80.580702,64,9.415434
65.273582,39,9.431541
12.197474,20,9.4402
14.948076,32,9.454501
114.202021,80,9.489256
151.250958,102,9.535155
77.592611,47,9.555711
100.621968,60,9.581827
7.08942,10,9.586187
102.423113,58,9.611501
15.291736,18,9.61943
70.846833,51,9.641629
71.271196,44,9.661034
72.711509,45,9.680798
93.423891,53,9.70387
43.613095,31,9.717203
19.153349,24,9.727839
7.260044,13,9.733659
85.143793,55,9.757646
13.298302,20,9.766398
94.926237,73,9.797753
21.715657,22,9.80754
85.357862,55,9.831766
8.506844,13,9.837425
15.749492,20,9.846282
31.086324,38,9.862827
16.436417,18,9.870698
83.288138,48,9.891394
91.760313,52,9.913884
11.53881,12,9.919086
151.60396,76,9.952414
71.736056,42,9.970784
21.384462,27,9.982602
92.731058,58,10.007738
68.801625,58,10.033441
74.668029,44,10.052839
18.225129,18,10.060773
10.651717,35,10.075967
36.644577,59,10.1021
47.305154,40,10.119473
95.063182,54,10.143162
156.62927,100,10.186173
73.895131,43,10.204942
126.507278,69,10.234869
11.67167,17,10.242424
141.715043,73,10.2743
7.625907,12,10.279661
4.374061,15,10.286406
17.217976,28,10.298896
63.979289,44,10.317883
30.871442,26,10.329381
97.864892,55,10.353628
13.24948,22,10.36327
91.722803,68,10.39323
23.82476,44,10.412791
146.153433,87,10.450796
136.508934,74,10.483145
10.924685,21,10.492378
46.241316,38,10.508849
64.796173,38,10.525442
70.126282,44,10.544876
229.64911,111,10.593254
9.643807,12,10.598493
14.839531,23,10.608705
88.481108,50,10.630589
106.768676,67,10.659704
17.300145,19,10.668142
60.272658,36,10.68395
28.309326,24,10.694422
74.742056,46,10.714893
43.979168,35,10.730012
78.848991,46,10.750069
75.351706,45,10.769797
49.276366,29,10.78259
25.838059,33,10.797371
10.51555,18,10.805277
23.976569,23,10.815314
11.452193,22,10.825115
27.920664,52,10.84795
80.797138,51,10.870189
34.614203,36,10.886108
99.069712,57,10.910349
30.199453,29,10.923287
36.82128,32,10.93744
9.114534,13,10.943229
25.3972,31,10.957081
51.170121,51,10.979291
72.940337,43,10.997947
69.7276,42,11.016605
86.954757,48,11.037576
36.28007,50,11.05956
23.768895,35,11.075161
108.976536,66,11.103978
70.370327,42,11.122166
28.029702,29,11.134889
76.02664,45,11.154554
85.222075,55,11.178769
122.320858,76,11.684616
235.670219,112,11.732098
26.089453,22,11.741489
58.274387,35,11.75627
61.08747,44,11.774726
73.99875,44,11.793141
114.892886,63,11.818969
92.340122,54,11.842119
101.91595,58,11.86644
11.275934,16,11.873218
149.668675,115,11.92083
73.36991,50,11.941491
15.125218,16,11.948229
60.888004,35,11.962836
118.924752,85,11.998555
60.137169,37,12.013998
136.657386,80,12.046408
40.908442,44,12.064933
95.370579,55,12.087714
79.110857,46,12.106337
13.600367,20,12.114793
15.492668,28,12.126719
69.194901,42,12.144086
58.79013,35,12.158834
121.509068,70,12.188202
86.625002,57,12.211793
93.328861,56,12.235467
